id,session_id,url,viewed_at,duration_seconds
1,1,/dashboard,2023-06-01 09:00:00,120
2,1,/reports,2023-06-01 09:02:00,300
3,1,/reports/sales,2023-06-01 09:07:00,450
4,1,/settings,2023-06-01 09:15:00,60
5,2,/dashboard,2023-06-01 14:00:00,180
6,2,/reports,2023-06-01 14:03:00,240
7,3,/,2023-06-01 10:00:00,30
8,3,/pricing,2023-06-01 10:01:00,120
9,3,/signup,2023-06-01 10:03:00,60
10,4,/dashboard,2023-06-01 08:00:00,300
11,4,/reports,2023-06-01 08:05:00,600
12,4,/reports/analytics,2023-06-01 08:15:00,480
13,4,/reports/users,2023-06-01 08:23:00,360
14,4,/settings,2023-06-01 08:29:00,120
15,5,/dashboard,2023-06-02 10:00:00,240
16,5,/reports,2023-06-02 10:04:00,360
17,5,/reports/sales,2023-06-02 10:10:00,300
18,6,/dashboard,2023-06-01 11:00:00,180
19,6,/reports,2023-06-01 11:03:00,240
20,7,/,2023-06-02 09:00:00,15
21,7,/pricing,2023-06-02 09:01:00,30
22,8,/dashboard,2023-06-02 13:00:00,360
23,8,/reports,2023-06-02 13:06:00,480
24,8,/reports/analytics,2023-06-02 13:14:00,600
25,8,/settings,2023-06-02 13:24:00,120
26,9,/dashboard,2023-06-03 09:00:00,300
27,9,/reports,2023-06-03 09:05:00,420
28,9,/reports/sales,2023-06-03 09:12:00,360
29,10,/,2023-06-03 10:00:00,20
30,10,/pricing,2023-06-03 10:01:00,10
31,11,/dashboard,2023-06-03 08:00:00,240
32,11,/reports,2023-06-03 08:04:00,600
33,11,/reports/users,2023-06-03 08:14:00,480
34,11,/settings,2023-06-03 08:22:00,180
35,12,/dashboard,2023-06-04 11:00:00,300
36,12,/reports,2023-06-04 11:05:00,480
37,12,/reports/analytics,2023-06-04 11:13:00,360
38,13,/,2023-06-04 15:00:00,30
39,13,/pricing,2023-06-04 15:01:00,60
40,13,/signup,2023-06-04 15:02:00,45
41,14,/dashboard,2023-06-05 09:00:00,240
42,14,/reports,2023-06-05 09:04:00,360
43,14,/reports/sales,2023-06-05 09:10:00,300
44,14,/settings,2023-06-05 09:15:00,120
45,15,/,2023-06-05 12:00:00,20
46,15,/pricing,2023-06-05 12:01:00,15
47,16,/dashboard,2023-06-05 14:00:00,180
48,16,/reports,2023-06-05 14:03:00,300
49,17,/,2023-06-06 10:00:00,25
50,17,/pricing,2023-06-06 10:01:00,40
51,18,/dashboard,2023-06-06 09:00:00,300
52,18,/reports,2023-06-06 09:05:00,480
53,18,/reports/analytics,2023-06-06 09:13:00,420
54,19,/dashboard,2023-06-07 08:30:00,240
55,19,/reports,2023-06-07 08:34:00,360
56,19,/reports/sales,2023-06-07 08:40:00,300
57,20,/dashboard,2023-06-07 11:00:00,180
58,20,/reports,2023-06-07 11:03:00,300
59,21,/dashboard,2023-06-07 14:00:00,300
60,21,/reports,2023-06-07 14:05:00,420
61,21,/reports/analytics,2023-06-07 14:12:00,360
62,22,/,2023-06-08 09:00:00,15
63,22,/pricing,2023-06-08 09:01:00,10
64,23,/dashboard,2023-06-08 10:00:00,360
65,23,/reports,2023-06-08 10:06:00,480
66,23,/reports/users,2023-06-08 10:14:00,600
67,23,/settings,2023-06-08 10:24:00,180
68,24,/dashboard,2023-06-08 13:00:00,300
69,24,/reports,2023-06-08 13:05:00,540
70,24,/reports/analytics,2023-06-08 13:14:00,420
71,25,/,2023-06-09 09:00:00,20
72,25,/pricing,2023-06-09 09:01:00,30
73,26,/dashboard,2023-06-09 10:00:00,240
74,26,/reports,2023-06-09 10:04:00,360
75,26,/reports/sales,2023-06-09 10:10:00,300
76,27,/dashboard,2023-06-10 09:00:00,180
77,27,/reports,2023-06-10 09:03:00,300
78,28,/dashboard,2023-06-10 11:00:00,300
79,28,/reports,2023-06-10 11:05:00,420
80,28,/reports/analytics,2023-06-10 11:12:00,360
